PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,7day,28day,56day
372,0,248,1260,1700,258,2.1,24.8,40.3,0,35.34943452,49.56413139,
375,0,250,1200,1850,279,3.1,0,100,0,27.31751462,39.57801172,
375,0,250,1300,1650,262,2,0,39,0,33.19724033,46.53747539,55.75562587
375,0,250,1320,1725,263,4,0,39,0,31.0091831,44.56313213,
375,0,260,1305,1775,250,2.5,10,28,0,28.8545706,43.80930504,
375,150,225,1101,1740,251,8,11.3,50,0,49.52506108,69.6887867,70.83476254
375,150,225,1140,1730,250,3.8,0,41.3,0,54.70647322,71.43827572,77.55127551
375,150,225,1350,1550,263,7.5,0,67.5,0,51.9175428,67.1894362,69.95883147
378,0,252,1219,1900,280,0,0,44.1,0,31.03533564,44.58056716,
378,0,252,1402,1500,284,7.9,18.9,0,0,27.4556238,37.60881603,
380,180,40,1215,1925,229,1.5,24,30,0,39.13853606,51.05684693,58.0717545
385,165,0,1250,1900,220,1.7,0,33,0,33.48883429,41.97923874,46.11609474
385,165,0,1300,1860,220,6,0,33,0,30.2679964,42.1269836,48.5391104
385,165,0,1300,1860,220,6,8,33,0,32.51091021,44.16086153,51.10428145
387,0,258,1150,1815,291,8,20,0,0,36.97694846,46.61828853,
390,0,260,1068,2000,260,6.5,52,0,0,33.14710302,42.24189627,
390,0,260,1081,2000,260,6.5,52,0,0,32.46282833,39.59660668,
390,0,260,1235,1830,225,10,0,51,0,44.77325815,59.26082508,60.7083618
390,0,260,1295,1550,300,1.6,0,32.5,0,35.6286723,54.640973,
390,0,260,1300,1725,260,3,0,44,0,36.65178923,46.89434726,53.17897048
390,0,260,1325,1700,260,3,0,40,0,36.03312385,49.814641,
390,0,260,1360,1705,259,0,0,48,0,43.31734364,59.42823469,63.81592863
390,0,260,1360,1805,293,0,0,50,0,39.2656582,63.61565227,
390,0,260,1445,1537,258,0,0,45,0,36.8524922,57.6057198,
390,0,260,1445,1537,259,0,45,74,0,35.97125569,52.60127317,
390,0,260,1445,1537,289,0,45,74,0,40.56426071,60.18161528,
390,0,260,1445,1600,258,0,0,40,0,36.7490708,56.3991368,
390,0,260,1445,1600,259,0,45,45,0,37.60599097,52.4174129,
390,0,260,1495,1600,280,15,0,76,0,35.19959661,49.52293962,
394,0,263,945,2050,263,3,20,0,0,23.7352113,40.21943333,
394,0,264,1134,1870,265,7.4,0,14.6,0,33.04888293,42.81186309,
