PC,PC_TYPE,FA,SS,SF,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,FIBER,LATEX,SLUMP,VOID,Category,TOTAL_BINDER,w/b,b/a,SCM%,CAGG%,FAGG%,GWP,7day,28day,56day
200,11,0,400,0,2000,0,421,20,0,15,0,0,0,15,6,6,600,0.701666667,0.3,0.666666667,0,1,322.346,,7.262480533,
200,11,100,550,0,1260,1380,340,0,0,40,0,0,0,25,1,6,850,0.4,0.321969697,0.764705882,0.522727273,0.477272727,394.74468,49.42502202,76.14879378,81.22154961
200,11,100,550,0,1260,1383,308,0,0,45,0,0,0,9,4,6,850,0.362352941,0.321604238,0.764705882,0.523269012,0.476730988,394.750425,40.64296859,55.44536167,64.40854967
200,11,100,550,0,1260,1400,312,0,0,52,0,0,0,25,1,5,850,0.367058824,0.319548872,0.764705882,0.526315789,0.473684211,394.78298,59.0191456,72.06173327,77.89240197
200,11,200,0,0,2055,0,292,0,0,0,0,0,0,0,30,6,400,0.73,0.194647202,0.5,0,1,282.542515,8.101343,9.387760063,
204,11,204,272,0,1015,1970,264,1.1,40.8,0,0,0,0,7.5,6,4,680,0.388235294,0.227805695,0.7,0.659966499,0.340033501,359.911145,31.4401056,49.0906912,56.5715058
210,6,0,490,0,1010,1970,260,5.6,50,0,0,0,0,5.5,5.5,4,700,0.371428571,0.234899329,0.7,0.661073826,0.338926174,356.82128,38.51585305,,
210,6,0,490,0,1102,1870,260,6,0,50,0,0,0,6,7,4,700,0.371428571,0.235531629,0.7,0.629205922,0.370794078,356.958496,34.9219594,44.23882305,
210,6,175,315,0,1280,1600,245,10,0,55,0,0,0,9,6,6,700,0.35,0.243055556,0.7,0.555555556,0.444444444,368.27744,36.8524922,52.58403627,
210,11,0,490,0,1102,1870,260,7,45,0,0,0,0,5.75,5.5,6,700,0.371428571,0.235531629,0.7,0.629205922,0.370794078,356.958496,56.1233464,70.00939304,
225,6,225,300,0,1390,1650,267,0,19,21,0,0,0,10,0,5,750,0.356,0.246710526,0.7,0.542763158,0.457236842,396.92622,34.36348384,,66.50379062
225,11,0,525,100,1810,985,298,0,20,80,25,0,0,3,3.1,6,750,0.397333333,0.268336315,0.7,0.352415027,0.647584973,382.753405,58.48767452,67.63092563,72.81670933
225,11,225,300,0,1229,1600,254,3.8,20.6,31.9,0,0,0,9,5.5,5,750,0.338666667,0.265111347,0.7,0.565570873,0.434429127,396.255217,29.57162564,44.39650877,52.3312284
225,11,225,300,0,1390,1650,267,0,19,21,0,0,0,10,0,5,750,0.356,0.246710526,0.7,0.542763158,0.457236842,396.92622,33.40000497,67.16984881,80.54894091
225,11,225,300,0,1390,1665,267,0,18.8,22.5,0,0,0,8,3.1,6,750,0.356,0.245499182,0.7,0.545008183,0.454991817,396.954945,25.8036393,,67.29860323
