PC,FA,SC,SF,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,TOTAL_BINDER,w/b,b/a,SCM%,CAGG%,FAGG%,7day,28day,56day
300,120,180,0,1200,1830,234,4.0,0.0,35.0,0.0,600,0.39,0.198019802,0.5,0.603960396,0.396039604,35.41086056,53.85765166,
300,120,180,0,1200,1830,234,4.0,0.0,40.0,0.0,600,0.39,0.198019802,0.5,0.603960396,0.396039604,38.9209202,60.16827227,66.0862746
300,120,180,0,1210,1830,228,6.0,0.0,33.0,0.0,600,0.38,0.197368421,0.5,0.601973684,0.398026316,34.61935604,52.59388592,58.01448057
300,120,180,0,1210,1873,228,2.3,0.0,35.0,0.0,600,0.38,0.194615634,0.5,0.607525138,0.392474862,39.80175053,58.10445355,63.42591478
300,120,180,0,1210,1873,228,5.0,0.0,30.0,0.0,600,0.38,0.194615634,0.5,0.607525138,0.392474862,39.7138176,59.90469134,66.09704766
300,120,180,0,1210,1873,228,5.0,0.0,40.0,0.0,600,0.38,0.194615634,0.5,0.607525138,0.392474862,37.1972302,56.39051835,60.13092565
300,120,180,0,1210,1873,229,5.0,0.0,30.0,0.0,600,0.381666667,0.194615634,0.5,0.607525138,0.392474862,38.77935552,57.6746674,64.61387156
300,120,180,0,1210,1900,220,7.0,0.0,40.0,0.0,600,0.366666667,0.192926045,0.5,0.610932476,0.389067524,47.3670012,65.4312724,67.9823336
300,120,180,0,1210,1900,228,2.3,0.0,35.0,0.0,600,0.38,0.192926045,0.5,0.610932476,0.389067524,39.31002448,54.83840492,60.208364675
300,120,180,0,1210,1900,228,5.0,0.0,30.0,0.0,600,0.38,0.192926045,0.5,0.610932476,0.389067524,38.39519475,53.31732272,59.09455704
300,120,180,0,1210,1900,228,6.0,0.0,33.0,0.0,600,0.38,0.192926045,0.5,0.610932476,0.389067524,34.46395034,53.3309686,60.93818713
300,120,180,0,1210,1900,232,4.0,45.0,45.0,0.0,600,0.386666667,0.192926045,0.5,0.610932476,0.389067524,37.66919293666667,54.96694193333334,60.74264408
300,120,180,0,1210,1950,228,2.3,0.0,35.0,0.0,600,0.38,0.189873418,0.5,0.617088608,0.382911392,35.21301256,48.056960610000004,52.596099335000005
300,120,180,0,1210,1973,228,2.3,0.0,35.0,0.0,600,0.38,0.188501414,0.5,0.619855482,0.380144518,39.3346058,57.52815375,60.72272588
300,120,180,0,1238,1740,242,2.5,0.0,4.2,0.0,600,0.403333333,0.201477502,0.5,0.584284755,0.415715245,,56.05022016,
300,120,180,0,1238,1740,242,2.5,0.0,42.0,0.0,600,0.403333333,0.201477502,0.5,0.584284755,0.415715245,,57.06000746,
300,120,180,0,1250,1750,239,5.0,45.0,39.0,0.0,600,0.398333333,0.2,0.5,0.583333333,0.416666667,34.17732532,51.9175428,62.25106435
300,120,180,0,1255,1860,234,1.8,0.0,36.0,0.0,600,0.39,0.192616372,0.5,0.597110754,0.402889246,33.1293218,52.37719347,61.7425758
300,120,180,0,1255,1860,235,1.8,0.0,36.0,0.0,600,0.391666667,0.192616372,0.5,0.597110754,0.402889246,34.853011800000004,51.991597625,48.03185306
300,125,371,0,1328,1625,230,0.0,15.0,50.0,0.0,796,0.288944724,0.269556383,0.623115578,0.550287843,0.449712157,57.50069497,90.92379978,97.80843856
300,129,367,24,1338,1633,222,0.0,12.0,43.0,0.0,796,0.278894472,0.267923258,0.623115578,0.549646584,0.450353416,69.36810019,101.9864866,107.8115883
300,150,150,0,1231,1720,242,1.2,0.0,36.0,0.0,600,0.403333333,0.203320908,0.5,0.58285327,0.41714673,38.16067480571429,55.62432837428571,60.7083618
300,150,150,0,1406,1750,259,0.0,0.0,42.5,0.0,600,0.431666667,0.190114068,0.5,0.554499366,0.445500634,41.37485522,59.41171477,
300,180,420,0,1460,1515,242,0.0,31.5,54.0,0.0,900,0.268888889,0.302521008,0.666666667,0.509243697,0.490756303,66.3183508,95.62835127,105.0702745
303,182,121,0,1174,1835,242,1.0,0.0,39.0,0.0,606,0.399339934,0.201395813,0.5,0.609837155,0.390162845,37.15725017,52.800109145,59.536694575
310,0,310,0,1260,1840,250,1.6,0.0,31.3,0.0,620,0.403225806,0.2,0.5,0.593548387,0.406451613,40.94338313,60.99564347,
310,0,310,0,1378,1825,238,4.0,0.0,34.1,0.0,620,0.383870968,0.19356853,0.5,0.569778333,0.430221667,33.22584844,49.81693925,
310,110,200,0,1121,1720,246,1.2,0.0,40.3,0.0,620,0.396774194,0.218233017,0.5,0.605420627,0.394579373,42.018965695000006,57.30981968,61.2599426
310,110,200,0,1211,1720,246,1.2,0.0,40.3,0.0,620,0.396774194,0.2115319,0.5,0.586830433,0.413169567,43.77748412857142,62.67411911,66.04274038
310,110,200,0,1211,1720,260,1.2,0.0,40.3,0.0,620,0.419354839,0.2115319,0.5,0.586830433,0.413169567,44.13508245,61.54722427,
310,110,200,0,1252,1720,213,2.5,0.0,31.0,512.0,620,0.343548387,0.208613728,0.5,0.578734859,0.421265141,45.66342092,63.26708384,68.66491484
310,200,110,0,1211,1720,246,1.2,0.0,40.3,0.0,620,0.396774194,0.2115319,0.5,0.586830433,0.413169567,43.8161998,57.68615867,
320,0,320,0,1280,1700,255,1.9,0.0,41.6,0.0,640,0.3984375,0.214765101,0.5,0.570469799,0.429530201,48.53049195,67.71072184,
320,0,465,15,1375,1500,280,0.0,0.0,80.0,0.0,785,0.356687898,0.273043478,0.592356688,0.52173913,0.47826087,48.40527094,67.28902718,74.56806061
320,0,465,15,1450,1460,283,0.0,0.0,115.0,0.0,785,0.360509554,0.26975945,0.592356688,0.501718213,0.498281787,58.73148343,73.80990466,79.09085269
320,0,480,0,1375,1500,280,0.0,0.0,90.0,0.0,800,0.35,0.27826087,0.6,0.52173913,0.47826087,51.6245155,64.11437324,69.15807162
320,110,210,0,1257,1700,255,2.6,0.0,41.6,0.0,640,0.3984375,0.216435577,0.5,0.574907,0.425093,41.17901689333333,60.377327466666664,64.23618067
320,115,350,0,1225,1824,275,0.0,0.0,78.5,0.0,785,0.350318471,0.257461463,0.592356688,0.598228928,0.401771072,56.09043959,72.02467203,78.35983134
320,128,192,0,1230,1850,237,1.9,0.0,38.4,0.0,640,0.3703125,0.207792208,0.5,0.600649351,0.399350649,35.55780949,54.2325107,61.5012592
324,0,216,0,1320,1700,267,2.2,21.6,37.8,0.0,540,0.494444444,0.178807947,0.4,0.562913907,0.437086093,31.2504997,44.81594,50.84502458
325,0,325,0,1154,1870,260,4.6,0.0,50.0,0.0,650,0.4,0.21494709,0.5,0.618386243,0.381613757,37.38568697,54.37296701,
325,130,195,0,1062,1970,208,2.6,0.0,33.0,0.0,650,0.32,0.214379947,0.5,0.649736148,0.350263852,35.11313229,50.52709953,58.04749516
325,130,195,0,1150,1750,234,3.0,0.0,39.0,0.0,650,0.36,0.224137931,0.5,0.603448276,0.396551724,32.0778709,48.18288113,
325,130,195,0,1150,1900,234,3.0,0.0,39.0,0.0,650,0.36,0.213114754,0.5,0.62295082,0.37704918,38.82284224,50.84991794,55.538010005000004
325,130,195,0,1155,1830,225,9.0,0.0,50.0,0.0,650,0.346153846,0.217755444,0.5,0.613065327,0.386934673,39.4035534,59.59370893,
325,130,195,0,1155,1830,232,8.5,0.0,50.0,0.0,650,0.356923077,0.217755444,0.5,0.613065327,0.386934673,35.379565145,54.21170181,59.017291605
325,130,195,0,1179,1850,250,0.3,32.5,0.0,0.0,650,0.384615385,0.214592275,0.5,0.610762628,0.389237372,31.38456448,,
325,130,195,0,1270,1830,233,9.0,0.0,50.0,0.0,650,0.358461538,0.209677419,0.5,0.590322581,0.409677419,30.854051,47.7806868,
329,0,329,0,1390,1700,263,6.0,0.0,79.0,0.0,658,0.399696049,0.212944984,0.5,0.550161812,0.449838188,32.20103639,43.56210267,
330,0,220,0,1120,2210,220,2.2,15.0,27.5,0.0,550,0.4,0.165165165,0.4,0.663663664,0.336336336,41.50153037,50.33415315,54.99615761
330,0,220,0,1200,2070,220,1.9,0.0,27.5,128.0,550,0.4,0.168195719,0.4,0.633027523,0.366972477,32.40996851,42.43494955,44.65924091
330,0,220,0,1200,2070,220,1.9,27.5,0.0,0.0,550,0.4,0.168195719,0.4,0.633027523,0.366972477,30.88341757,46.33110555,49.6767458
330,0,220,0,1200,2070,220,2.2,15.0,27.5,0.0,550,0.4,0.168195719,0.4,0.633027523,0.366972477,44.93413589,55.5545287,58.28197297
330,0,220,0,1380,1700,275,2.5,0.0,14.0,0.0,550,0.5,0.178571429,0.4,0.551948052,0.448051948,15.0305768,23.39621893,
336,0,224,0,1350,1710,258,4.0,0.0,5.6,0.0,560,0.460714286,0.183006536,0.4,0.558823529,0.441176471,24.7177146,37.63772876,
336,0,224,0,1496,1710,238,0.0,0.0,40.0,0.0,560,0.425,0.174672489,0.4,0.533374922,0.466625078,28.7511492,39.33230755,
336,112,112,0,1270,1725,254,1.5,0.0,21.3,0.0,560,0.453571429,0.186978297,0.4,0.575959933,0.424040067,33.7498502,45.89611907,
336,112,112,0,1270,1725,259,1.4,0.0,21.3,0.0,560,0.4625,0.186978297,0.4,0.575959933,0.424040067,35.77690964,50.84425849,
338,0,226,0,1293,1710,266,7.1,16.9,0.0,0.0,564,0.471631206,0.187812188,0.40070922,0.569430569,0.430569431,23.8041589,40.67793487,
338,0,226,0,1304,1710,266,7.1,16.9,0.0,0.0,564,0.471631206,0.187126742,0.40070922,0.567352356,0.432647644,,32.17554667,
338,0,226,0,1324,1710,266,5.6,0.0,5.6,0.0,564,0.471631206,0.18589321,0.40070922,0.563612393,0.436387607,27.3721972,40.44925867,
338,0,226,0,1324,1710,267,5.6,0.0,5.6,0.0,564,0.473404255,0.18589321,0.40070922,0.563612393,0.436387607,23.0284984,31.0953676,
338,0,226,0,1325,1710,266,5.0,0.0,5.6,0.0,564,0.471631206,0.18583196,0.40070922,0.563426689,0.436573311,20.4429634,44.10348147,
338,0,226,0,1325,1710,267,7.1,16.9,0.0,0.0,564,0.473404255,0.18583196,0.40070922,0.563426689,0.436573311,26.50493489,40.406339075000005,78.2210522
338,0,226,0,1325,1750,266,7.1,16.9,0.0,0.0,564,0.471631206,0.183414634,0.40070922,0.569105691,0.430894309,,41.4375076,
339,0,226,0,1330,1800,260,5.6,0.0,22.6,0.0,565,0.460176991,0.180511182,0.4,0.575079872,0.424920128,30.0956274,36.93293107,
340,0,220,0,1200,2000,210,11.0,0.0,55.0,192.0,560,0.375,0.175,0.392857143,0.625,0.375,35.99691516,53.29022684,
340,0,225,0,1325,1800,255,5.6,0.0,16.9,0.0,565,0.451327434,0.1808,0.398230088,0.576,0.424,23.1663936,40.17346827,40.679084
340,0,225,0,1325,1800,255,5.6,22.6,0.0,0.0,565,0.451327434,0.1808,0.398230088,0.576,0.424,31.72768967,41.0413613,
340,0,226,0,1325,1800,255,5.6,22.6,0.0,0.0,566,0.450530035,0.18112,0.399293286,0.576,0.424,32.12692977,49.59453905,
340,0,240,0,1461,1850,300,6.0,0.0,30.0,0.0,580,0.517241379,0.175173664,0.413793103,0.558743582,0.441256418,24.821136,40.334346,
342,0,228,0,1026,2180,225,3.4,0.0,22.8,0.0,570,0.394736842,0.177791641,0.4,0.679975047,0.320024953,39.8517128,51.51890031,56.86108572
345,0,230,0,1325,1650,270,2.0,0.0,14.0,0.0,575,0.469565217,0.193277311,0.4,0.554621849,0.445378151,21.718494,43.13821507,
345,0,230,0,1325,1650,270,2.0,0.0,26.0,0.0,575,0.469565217,0.193277311,0.4,0.554621849,0.445378151,26.15750272,38.50458277,48.94130473
348,0,232,0,1279,1710,261,7.3,17.4,0.0,0.0,580,0.45,0.194044831,0.4,0.572097692,0.427902308,20.58303589,32.21950076,32.47776698
348,0,232,0,1279,1710,266,7.3,17.4,0.0,0.0,580,0.45862069,0.194044831,0.4,0.572097692,0.427902308,25.9179774,38.11805674,
348,0,232,0,1279,1760,266,7.3,17.4,0.0,0.0,580,0.45862069,0.190852254,0.4,0.579137874,0.420862126,22.48381236,32.53120137,
348,0,232,0,1290,1710,263,7.3,17.4,0.0,0.0,580,0.453448276,0.193333333,0.4,0.57,0.43,23.941029510000003,36.68034488666667,45.11471293
348,0,232,0,1300,1700,261,2.0,23.2,37.7,0.0,580,0.45,0.193333333,0.4,0.566666667,0.433333333,30.4576023,42.3338264,
348,0,232,0,1300,1700,261,2.0,23.3,37.7,0.0,580,0.45,0.193333333,0.4,0.566666667,0.433333333,33.4051122,51.66473493,
