PC,FA,SC,SF,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,TOTAL_BINDER,w/b,b/a,SCM%,CAGG%,FAGG%,7day,28day,56day
297,153,450,0,1373,1601,246,0,27,58.5,0,900,0.273333333,0.30262273,0.67,0.538332213,0.461667787,54.28286761,77.23960422,84.26399594
300,0,200,0,1424,1710,250,6.3,0,0,0,500,0.5,0.159540523,0.4,0.54562859,0.45437141,,35.55188975,
300,0,200,0,1424,1710,250,6.3,15,0,0,500,0.5,0.159540523,0.4,0.54562859,0.45437141,16.01882573,30.79659467,
300,0,200,0,1424,1710,250,6.3,15,0,0,500,0.5,0.159540523,0.4,0.54562859,0.45437141,27.7858828,34.58411616,
300,0,300,0,1300,1700,270,1.5,0,20,0,600,0.45,0.2,0.5,0.566666667,0.433333333,25.85535,46.28682213,54.71375102
300,0,450,0,1038,1750,279,7,0,30,0,750,0.372,0.269010043,0.6,0.6276901,0.3723099,47.89559947,55.80159093,62.1217876
300,65,483,25,1370,1646,220,0,30,65,0,848,0.259433962,0.281167109,0.646226415,0.545755968,0.454244032,77.7964244,106.0790746,111.0426244
300,70,485,70,1220,1756,222,0,0,161,0,855,0.259649123,0.287298387,0.649122807,0.590053763,0.409946237,81.46189448,98.33293703,101.9937791
300,125,371,0,1328,1625,230,0,15,50,0,796,0.288944724,0.269556383,0.623115578,0.550287843,0.449712157,57.50069497,90.92379978,97.80843856
300,129,367,24,1338,1633,222,0,12,43,0,796,0.278894472,0.267923258,0.623115578,0.549646584,0.450353416,69.36810019,101.9864866,107.8115883
300,0,450,0,1038,1750,280,2,0,35,0,750,0.373333333,0.269010043,0.6,0.6276901,0.3723099,,41.6443504,
300,0,450,0,1112,1700,280,8,0,55,0,750,0.373333333,0.266714083,0.6,0.60455192,0.39544808,42.23615063,60.18742438,67.6720694
300,0,450,0,1121,1700,280,8,0,55,0,750,0.373333333,0.265863169,0.6,0.602623183,0.397376817,65.3450879,86.27643013,
300,0,450,0,1121,1700,284,5,0,25,0,750,0.378666667,0.265863169,0.6,0.602623183,0.397376817,50.04028769,72.03979539,
300,0,450,0,1147,1700,283,8,0,75,0,750,0.377333333,0.263435195,0.6,0.597119775,0.402880225,35.1977498,57.27247307,
300,0,450,0,1245,1600,284,8,25,75,0,750,0.378666667,0.263620387,0.6,0.562390158,0.437609842,57.56894775,72.71208731,
300,0,450,0,1481,1500,276,0,0,0,0,750,0.368,0.251593425,0.6,0.50318685,0.49681315,40.1102663,62.5354732,
300,120,180,0,1200,1758,233,5,0,40,0,600,0.388333333,0.202839757,0.5,0.594320487,0.405679513,20.5463848,42.1959312,48.8838484
300,120,180,0,1200,1800,233,10,0,40,0,600,0.388333333,0.2,0.5,0.6,0.4,31.90080093,46.5793271,
300,120,180,0,1200,1830,232,4,0,45,0,600,0.386666667,0.198019802,0.5,0.603960396,0.396039604,38.57551532,54.74012073,56.49924016
300,120,180,0,1200,1830,232,4,0,45,0,600,0.386666667,0.198019802,0.5,0.603960396,0.396039604,31.29589795,45.07404662,50.58279779
300,120,180,0,1200,1830,232,4,0,45,0,600,0.386666667,0.198019802,0.5,0.603960396,0.396039604,33.98743068,51.28663984,57.11963922
300,120,180,0,1200,1830,233,8,0,40,0,600,0.388333333,0.198019802,0.5,0.603960396,0.396039604,33.74328376,48.66797675,55.53394018
